,colonne,count,min,max,lower_bound,upper_bound
0,ph_eb,40,5.95,8.03,6.9,7.779999999999999
1,temperature_eb,4,0.4,5.5,9.450000000000003,33.05
2,conductivite_eb,42,0.44,1547.0,1.0199999999999998,3.58
3,turbidite_eb,38,0.6,1966.0,415.875,1868.875
4,salinite_eb,46,0.1,1529.0,0.40000000000000013,1.9999999999999998
5,mes_eb,121,837.0,7857.0,-128.125,828.875
6,dbo5_eb,552,1.0,1361.0,330.0,330.0
7,dco_eb,568,35.0,4057.0,513.0,513.0
8,azote_eb,169,18.0,750.0,53.0,53.0
9,nitrate_eb,22,0.3,857.0,35.0,35.0
10,ammoniaque_eb,574,7.0,246.0,41.1,41.1
