,colonne,count,min,max,lower_bound,upper_bound
0,ph_ep,33,1.27,10.0,6.873750000000001,7.68375
1,temperature_ep,9,2.4,248.0,8.399999999999999,32.4
2,conductivite_ep,10,0.76,1413.0,1.0299999999999998,3.35
3,turbidite_ep,14,1.0,466.0,499.375,1708.375
4,salinite_ep,22,0.4,983.0,0.5499999999999999,1.75
5,mes_ep,70,30.0,244.0,-3.0,29.0
6,dbo5_ep,549,0.1,302.0,8.0,8.0
7,dco_ep,549,0.0,114.0,44.0,44.0
8,azote_ep,203,0.3,115.0,9.0,9.0
9,nitrate_ep,141,12.9,61.0,-1.9499999999999997,12.85
10,ammoniaque_ep,599,0.02,121.0,1.7,1.7
