Paramètre,Type,📊 Statistiques de base,Valeurs totales,Valeurs non nulles,Valeurs manquantes,Valeurs uniques,Moyenne,Médiane,Écart-type,📈 Distribution,Minimum,25e centile,75e centile,Maximum,IQR,CV (%),🔍 Analyse
debit_sortie,float64,,1680,4,99.8%,4,43.925,45.050,19.141,,19.800,35.550,53.425,65.800,17.875,43.6%,✅ Données cohérentes
ph_ep,float64,,1680,1577,6.1%,94,7.283,7.270,0.232,,1.270,7.170,7.390,10.000,0.220,3.2%,⚠️ 4 valeurs suspectes (z-score > 3)
temperature_ep,float64,,1680,1266,24.6%,181,21.083,20.400,14.110,,2.400,16.100,24.275,248.000,8.175,66.9%,⚠️ 7 valeurs suspectes (z-score > 3)
conductivite_ep,float64,,1680,1245,25.9%,201,3.407,2.300,40.354,,0.760,1.650,2.530,1.413e+03,0.880,1184.3%,⚠️ 2 valeurs suspectes (z-score > 3)
turbidite_ep,float64,,1680,1243,26.0%,628,1.059e+03,1.162e+03,276.739,,1.000,817.000,1.280e+03,1.569e+03,462.500,26.1%,⚠️ 7 valeurs suspectes (z-score > 3)
salinite_ep,float64,,1680,1242,26.1%,21,2.016,1.200,28.049,,0.400,0.800,1.300,983.000,0.500,1391.5%,⚠️ 2 valeurs suspectes (z-score > 3)
mes_ep,float64,,1680,1568,6.7%,61,14.262,12.000,10.103,,0.800,9.000,18.000,244.000,9.000,70.8%,⚠️ 13 valeurs suspectes (z-score > 3)
dbo5_ep,float64,,1680,552,67.1%,217,12.143,8.000,19.975,,0.100,4.975,12.850,302.000,7.875,164.5%,⚠️ 4 valeurs suspectes (z-score > 3)
dco_ep,float64,,1680,564,66.4%,85,44.775,44.000,15.671,,0.000e+00,35.000,54.000,114.000,19.000,35.0%,⚠️ 4 valeurs suspectes (z-score > 3)
azote_ep,float64,,1680,213,87.3%,69,12.124,9.000,12.866,,0.300,6.000,14.000,115.000,8.000,106.1%,⚠️ 5 valeurs suspectes (z-score > 3)
nitrate_ep,float64,,1680,1255,25.3%,229,7.097,5.200,6.556,,0.200,2.900,9.000,61.000,6.100,92.4%,⚠️ 24 valeurs suspectes (z-score > 3)
ammoniaque_ep,float64,,1680,611,63.6%,123,4.015,1.700,8.636,,0.020,0.700,3.500,121.000,2.800,215.1%,⚠️ 14 valeurs suspectes (z-score > 3)
